sl,sw,pl,pw,type
(5.02-5.38),(3.44-3.68),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(-inf-4.66),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(3.44-3.68),(-inf-1.59),(-inf-0.34),setosa
(5.38-5.74),(3.68-3.92),(1.59-2.18),(0.34-0.58),setosa
(-inf-4.66),(3.2-3.44),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(3.2-3.44),(-inf-1.59),(-inf-0.34),setosa
(-inf-4.66),(2.72-2.96),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(5.38-5.74),(3.68-3.92),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(3.2-3.44),(1.59-2.18),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(-inf-4.66),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(5.74-6.1),(3.92-4.16),(-inf-1.59),(-inf-0.34),setosa
(5.38-5.74),(4.16-inf),(-inf-1.59),(0.34-0.58),setosa
(5.38-5.74),(3.68-3.92),(-inf-1.59),(0.34-0.58),setosa
(5.02-5.38),(3.44-3.68),(-inf-1.59),(-inf-0.34),setosa
(5.38-5.74),(3.68-3.92),(1.59-2.18),(-inf-0.34),setosa
(5.02-5.38),(3.68-3.92),(-inf-1.59),(-inf-0.34),setosa
(5.38-5.74),(3.2-3.44),(1.59-2.18),(-inf-0.34),setosa
(5.02-5.38),(3.68-3.92),(-inf-1.59),(0.34-0.58),setosa
(-inf-4.66),(3.44-3.68),(-inf-1.59),(-inf-0.34),setosa
(5.02-5.38),(3.2-3.44),(1.59-2.18),(0.34-0.58),setosa
(4.66-5.02),(3.2-3.44),(1.59-2.18),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(1.59-2.18),(-inf-0.34),setosa
(4.66-5.02),(3.2-3.44),(1.59-2.18),(0.34-0.58),setosa
(5.02-5.38),(3.44-3.68),(-inf-1.59),(-inf-0.34),setosa
(5.02-5.38),(3.2-3.44),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(1.59-2.18),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(1.59-2.18),(-inf-0.34),setosa
(5.38-5.74),(3.2-3.44),(-inf-1.59),(0.34-0.58),setosa
(5.02-5.38),(3.92-4.16),(-inf-1.59),(-inf-0.34),setosa
(5.38-5.74),(4.16-inf),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(5.38-5.74),(3.44-3.68),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(3.44-3.68),(-inf-1.59),(-inf-0.34),setosa
(-inf-4.66),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(5.02-5.38),(3.2-3.44),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(3.44-3.68),(-inf-1.59),(-inf-0.34),setosa
(-inf-4.66),(2.24-2.48),(-inf-1.59),(-inf-0.34),setosa
(-inf-4.66),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(3.44-3.68),(1.59-2.18),(0.58-0.82),setosa
(5.02-5.38),(3.68-3.92),(1.59-2.18),(0.34-0.58),setosa
(4.66-5.02),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(5.02-5.38),(3.68-3.92),(1.59-2.18),(-inf-0.34),setosa
(-inf-4.66),(2.96-3.2),(-inf-1.59),(-inf-0.34),setosa
(5.02-5.38),(3.68-3.92),(-inf-1.59),(-inf-0.34),setosa
(4.66-5.02),(3.2-3.44),(-inf-1.59),(-inf-0.34),setosa
(6.82-7.18),(2.96-3.2),(4.54-5.13),(1.3-1.54),versicolor
(6.1-6.46),(2.96-3.2),(3.95-4.54),(1.3-1.54),versicolor
(6.82-7.18),(2.96-3.2),(4.54-5.13),(1.3-1.54),versicolor
(5.38-5.74),(2.24-2.48),(3.95-4.54),(1.06-1.3),versicolor
(6.46-6.82),(2.72-2.96),(4.54-5.13),(1.3-1.54),versicolor
(5.38-5.74),(2.72-2.96),(3.95-4.54),(1.06-1.3),versicolor
(6.1-6.46),(3.2-3.44),(4.54-5.13),(1.54-1.78),versicolor
(4.66-5.02),(2.24-2.48),(2.77-3.36),(0.82-1.06),versicolor
(6.46-6.82),(2.72-2.96),(4.54-5.13),(1.06-1.3),versicolor
(5.02-5.38),(2.48-2.72),(3.36-3.95),(1.3-1.54),versicolor
(4.66-5.02),(-inf-2.24),(3.36-3.95),(0.82-1.06),versicolor
(5.74-6.1),(2.96-3.2),(3.95-4.54),(1.3-1.54),versicolor
(5.74-6.1),(-inf-2.24),(3.95-4.54),(0.82-1.06),versicolor
(5.74-6.1),(2.72-2.96),(4.54-5.13),(1.3-1.54),versicolor
(5.38-5.74),(2.72-2.96),(3.36-3.95),(1.06-1.3),versicolor
(6.46-6.82),(2.96-3.2),(3.95-4.54),(1.3-1.54),versicolor
(5.38-5.74),(2.96-3.2),(3.95-4.54),(1.3-1.54),versicolor
(5.74-6.1),(2.48-2.72),(3.95-4.54),(0.82-1.06),versicolor
(6.1-6.46),(-inf-2.24),(3.95-4.54),(1.3-1.54),versicolor
(5.38-5.74),(2.48-2.72),(3.36-3.95),(1.06-1.3),versicolor
(5.74-6.1),(2.96-3.2),(4.54-5.13),(1.78-2.02),versicolor
(5.74-6.1),(2.72-2.96),(3.95-4.54),(1.06-1.3),versicolor
(6.1-6.46),(2.48-2.72),(4.54-5.13),(1.3-1.54),versicolor
(5.74-6.1),(2.72-2.96),(4.54-5.13),(1.06-1.3),versicolor
(6.1-6.46),(2.72-2.96),(3.95-4.54),(1.06-1.3),versicolor
(6.46-6.82),(2.96-3.2),(3.95-4.54),(1.3-1.54),versicolor
(6.46-6.82),(2.72-2.96),(4.54-5.13),(1.3-1.54),versicolor
(6.46-6.82),(2.96-3.2),(4.54-5.13),(1.54-1.78),versicolor
(5.74-6.1),(2.72-2.96),(3.95-4.54),(1.3-1.54),versicolor
(5.38-5.74),(2.48-2.72),(3.36-3.95),(0.82-1.06),versicolor
(5.38-5.74),(2.24-2.48),(3.36-3.95),(1.06-1.3),versicolor
(5.38-5.74),(2.24-2.48),(3.36-3.95),(0.82-1.06),versicolor
(5.74-6.1),(2.48-2.72),(3.36-3.95),(1.06-1.3),versicolor
(5.74-6.1),(2.48-2.72),(4.54-5.13),(1.54-1.78),versicolor
(5.38-5.74),(2.96-3.2),(3.95-4.54),(1.3-1.54),versicolor
(5.74-6.1),(3.2-3.44),(3.95-4.54),(1.54-1.78),versicolor
(6.46-6.82),(2.96-3.2),(4.54-5.13),(1.3-1.54),versicolor
(6.1-6.46),(2.24-2.48),(3.95-4.54),(1.06-1.3),versicolor
(5.38-5.74),(2.96-3.2),(3.95-4.54),(1.06-1.3),versicolor
(5.38-5.74),(2.48-2.72),(3.95-4.54),(1.06-1.3),versicolor
(5.38-5.74),(2.48-2.72),(3.95-4.54),(1.06-1.3),versicolor
(5.74-6.1),(2.96-3.2),(4.54-5.13),(1.3-1.54),versicolor
(5.74-6.1),(2.48-2.72),(3.95-4.54),(1.06-1.3),versicolor
(4.66-5.02),(2.24-2.48),(2.77-3.36),(0.82-1.06),versicolor
(5.38-5.74),(2.48-2.72),(3.95-4.54),(1.06-1.3),versicolor
(5.38-5.74),(2.96-3.2),(3.95-4.54),(1.06-1.3),versicolor
(5.38-5.74),(2.72-2.96),(3.95-4.54),(1.06-1.3),versicolor
(6.1-6.46),(2.72-2.96),(3.95-4.54),(1.06-1.3),versicolor
(5.02-5.38),(2.48-2.72),(2.77-3.36),(1.06-1.3),versicolor
(5.38-5.74),(2.72-2.96),(3.95-4.54),(1.06-1.3),versicolor
(6.1-6.46),(3.2-3.44),(5.72-6.31),(2.26-inf),virginica
(5.74-6.1),(2.48-2.72),(4.54-5.13),(1.78-2.02),virginica
(6.82-7.18),(2.96-3.2),(5.72-6.31),(2.02-2.26),virginica
(6.1-6.46),(2.72-2.96),(5.13-5.72),(1.78-2.02),virginica
(6.46-6.82),(2.96-3.2),(5.72-6.31),(2.02-2.26),virginica
(7.54-inf),(2.96-3.2),(6.31-inf),(2.02-2.26),virginica
(4.66-5.02),(2.48-2.72),(3.95-4.54),(1.54-1.78),virginica
(7.18-7.54),(2.72-2.96),(5.72-6.31),(1.78-2.02),virginica
(6.46-6.82),(2.48-2.72),(5.72-6.31),(1.78-2.02),virginica
(7.18-7.54),(3.44-3.68),(5.72-6.31),(2.26-inf),virginica
(6.46-6.82),(2.96-3.2),(4.54-5.13),(1.78-2.02),virginica
(6.1-6.46),(2.48-2.72),(5.13-5.72),(1.78-2.02),virginica
(6.46-6.82),(2.96-3.2),(5.13-5.72),(2.02-2.26),virginica
(5.38-5.74),(2.48-2.72),(4.54-5.13),(1.78-2.02),virginica
(5.74-6.1),(2.72-2.96),(4.54-5.13),(2.26-inf),virginica
(6.1-6.46),(2.96-3.2),(5.13-5.72),(2.26-inf),virginica
(6.46-6.82),(2.96-3.2),(5.13-5.72),(1.78-2.02),virginica
(7.54-inf),(3.68-3.92),(6.31-inf),(2.02-2.26),virginica
(7.54-inf),(2.48-2.72),(6.31-inf),(2.26-inf),virginica
(5.74-6.1),(-inf-2.24),(4.54-5.13),(1.3-1.54),virginica
(6.82-7.18),(2.96-3.2),(5.13-5.72),(2.26-inf),virginica
(5.38-5.74),(2.72-2.96),(4.54-5.13),(1.78-2.02),virginica
(7.54-inf),(2.72-2.96),(6.31-inf),(1.78-2.02),virginica
(6.1-6.46),(2.48-2.72),(4.54-5.13),(1.78-2.02),virginica
(6.46-6.82),(3.2-3.44),(5.13-5.72),(2.02-2.26),virginica
(7.18-7.54),(2.96-3.2),(5.72-6.31),(1.78-2.02),virginica
(6.1-6.46),(2.72-2.96),(4.54-5.13),(1.78-2.02),virginica
(5.74-6.1),(2.96-3.2),(4.54-5.13),(1.78-2.02),virginica
(6.1-6.46),(2.72-2.96),(5.13-5.72),(2.02-2.26),virginica
(7.18-7.54),(2.96-3.2),(5.72-6.31),(1.54-1.78),virginica
(7.18-7.54),(2.72-2.96),(5.72-6.31),(1.78-2.02),virginica
(7.54-inf),(3.68-3.92),(6.31-inf),(1.78-2.02),virginica
(6.1-6.46),(2.72-2.96),(5.13-5.72),(2.02-2.26),virginica
(6.1-6.46),(2.72-2.96),(4.54-5.13),(1.3-1.54),virginica
(5.74-6.1),(2.48-2.72),(5.13-5.72),(1.3-1.54),virginica
(7.54-inf),(2.96-3.2),(5.72-6.31),(2.26-inf),virginica
(6.1-6.46),(3.2-3.44),(5.13-5.72),(2.26-inf),virginica
(6.1-6.46),(2.96-3.2),(5.13-5.72),(1.78-2.02),virginica
(5.74-6.1),(2.96-3.2),(4.54-5.13),(1.78-2.02),virginica
(6.82-7.18),(2.96-3.2),(5.13-5.72),(2.02-2.26),virginica
(6.46-6.82),(2.96-3.2),(5.13-5.72),(2.26-inf),virginica
(6.82-7.18),(2.96-3.2),(4.54-5.13),(2.26-inf),virginica
(5.74-6.1),(2.48-2.72),(4.54-5.13),(1.78-2.02),virginica
(6.46-6.82),(2.96-3.2),(5.72-6.31),(2.26-inf),virginica
(6.46-6.82),(3.2-3.44),(5.13-5.72),(2.26-inf),virginica
(6.46-6.82),(2.96-3.2),(5.13-5.72),(2.26-inf),virginica
(6.1-6.46),(2.48-2.72),(4.54-5.13),(1.78-2.02),virginica
(6.46-6.82),(2.96-3.2),(5.13-5.72),(1.78-2.02),virginica
(6.1-6.46),(3.2-3.44),(5.13-5.72),(2.26-inf),virginica
(5.74-6.1),(2.96-3.2),(4.54-5.13),(1.78-2.02),virginica
